Account Number,Customer Name,State,Branch Code,Branch Manager,Balance,Has Loan,Loan Amount,Interest,EMI Status
10274,Customer_10274,Bihar,AEIB-BR,Manoj Patel,88241,True,86720,6937.6,Not Paying
10275,Customer_10275,Bihar,AEIB-BR,Manoj Patel,57677,True,269887,21590.96,Paying
10276,Customer_10276,Bihar,AEIB-BR,Manoj Patel,196853,True,458481,36678.48,Not Paying
10277,Customer_10277,Bihar,AEIB-BR,Manoj Patel,162815,False,0,0.0,N/A
10278,Customer_10278,Bihar,AEIB-BR,Manoj Patel,81999,False,0,0.0,N/A
10279,Customer_10279,Bihar,AEIB-BR,Manoj Patel,124392,False,0,0.0,N/A
10280,Customer_10280,Bihar,AEIB-BR,Manoj Patel,112925,True,487512,39000.96,Paying
10281,Customer_10281,Bihar,AEIB-BR,Manoj Patel,162957,False,0,0.0,N/A
10282,Customer_10282,Bihar,AEIB-BR,Manoj Patel,13804,True,148875,11910.0,Paying
10283,Customer_10283,West Bengal,AEIB-WB,Neha Singh,121997,True,72616,5809.28,Not Paying
10284,Customer_10284,West Bengal,AEIB-WB,Neha Singh,43607,False,0,0.0,N/A
10285,Customer_10285,West Bengal,AEIB-WB,Neha Singh,14481,True,245505,19640.4,Paying
10286,Customer_10286,West Bengal,AEIB-WB,Neha Singh,80358,True,496339,39707.12,Not Paying
10287,Customer_10287,West Bengal,AEIB-WB,Neha Singh,6291,True,478113,38249.04,Paying
10288,Customer_10288,West Bengal,AEIB-WB,Neha Singh,17230,True,193252,15460.16,Paying
10289,Customer_10289,West Bengal,AEIB-WB,Neha Singh,144130,False,0,0.0,N/A
10290,Customer_10290,West Bengal,AEIB-WB,Neha Singh,25441,False,0,0.0,N/A
10291,Customer_10291,West Bengal,AEIB-WB,Neha Singh,119871,True,54207,4336.56,Paying
10292,Customer_10292,West Bengal,AEIB-WB,Neha Singh,115562,False,0,0.0,N/A
10293,Customer_10293,West Bengal,AEIB-WB,Neha Singh,86776,False,0,0.0,N/A
10294,Customer_10294,West Bengal,AEIB-WB,Neha Singh,182689,False,0,0.0,N/A
10295,Customer_10295,West Bengal,AEIB-WB,Neha Singh,19937,False,0,0.0,N/A
10296,Customer_10296,West Bengal,AEIB-WB,Neha Singh,172987,True,307754,24620.32,Not Paying
10297,Customer_10297,West Bengal,AEIB-WB,Neha Singh,50486,True,472658,37812.64,Not Paying
10298,Customer_10298,West Bengal,AEIB-WB,Neha Singh,125185,False,0,0.0,N/A
10299,Customer_10299,West Bengal,AEIB-WB,Neha Singh,93910,True,71863,5749.04,Paying
10300,Customer_10300,West Bengal,AEIB-WB,Neha Singh,179771,False,0,0.0,N/A
10301,Customer_10301,West Bengal,AEIB-WB,Neha Singh,25381,False,0,0.0,N/A
10302,Customer_10302,West Bengal,AEIB-WB,Neha Singh,64843,False,0,0.0,N/A
10303,Customer_10303,West Bengal,AEIB-WB,Neha Singh,41151,True,393292,31463.36,Paying
10304,Customer_10304,West Bengal,AEIB-WB,Neha Singh,101068,False,0,0.0,N/A
10305,Customer_10305,West Bengal,AEIB-WB,Neha Singh,37214,True,417206,33376.48,Not Paying
10306,Customer_10306,West Bengal,AEIB-WB,Neha Singh,119382,True,217148,17371.84,Not Paying
10307,Customer_10307,West Bengal,AEIB-WB,Neha Singh,103469,True,157598,12607.84,Not Paying
10308,Customer_10308,West Bengal,AEIB-WB,Neha Singh,120211,True,372171,29773.68,Not Paying
10309,Customer_10309,West Bengal,AEIB-WB,Neha Singh,51783,True,326370,26109.600000000002,Not Paying
10310,Customer_10310,West Bengal,AEIB-WB,Neha Singh,18596,True,258600,20688.0,Not Paying
10311,Customer_10311,West Bengal,AEIB-WB,Neha Singh,53008,False,0,0.0,N/A
10312,Customer_10312,West Bengal,AEIB-WB,Neha Singh,15716,True,372385,29790.8,Not Paying
10313,Customer_10313,West Bengal,AEIB-WB,Neha Singh,136203,False,0,0.0,N/A
10314,Customer_10314,West Bengal,AEIB-WB,Neha Singh,119901,True,313758,25100.64,Not Paying
10315,Customer_10315,West Bengal,AEIB-WB,Neha Singh,42708,False,0,0.0,N/A
10316,Customer_10316,West Bengal,AEIB-WB,Neha Singh,133779,False,0,0.0,N/A
10317,Customer_10317,West Bengal,AEIB-WB,Neha Singh,26922,True,427488,34199.04,Not Paying
